guide_id,url,guide_title,clicks,impressions,ctr_percent,avg_position,position_bucket,status,date_range_start,date_range_end
1,https://oceancloudconsults.com/articles/guide-computer-using-agents-rpa-automation,Computer Using Agents Rpa Automation,0,0,0.0,0.0,No impressions,New guide - awaiting indexing,2026-05-24,2026-06-22
2,https://oceancloudconsults.com/articles/guide-copilot-cowork-multi-team-workflows,Copilot Cowork Multi Team Workflows,0,0,0.0,0.0,No impressions,New guide - awaiting indexing,2026-05-24,2026-06-22
3,https://oceancloudconsults.com/articles/guide-get-started-sharepoint-agents,Get Started Sharepoint Agents,0,152,0.0,17.61,11-20,Baseline,2026-05-24,2026-06-22
4,https://oceancloudconsults.com/articles/guide-m365-copilot,M365 Copilot,0,0,0.0,0.0,No impressions,Baseline,2026-05-24,2026-06-22
5,https://oceancloudconsults.com/articles/guide-m365-migration-checklist,M365 Migration Checklist,0,0,0.0,0.0,No impressions,Baseline,2026-05-24,2026-06-22
6,https://oceancloudconsults.com/articles/guide-microsoft-graph-sharepoint,Microsoft Graph Sharepoint,0,13,0.0,27.46,21+,Baseline,2026-05-24,2026-06-22
7,https://oceancloudconsults.com/articles/guide-pnp-entra-app-registration,Pnp Entra App Registration,0,0,0.0,0.0,No impressions,Baseline,2026-05-24,2026-06-22
8,https://oceancloudconsults.com/articles/guide-power-apps-sharepoint,Power Apps Sharepoint,0,93,0.0,15.44,11-20,Baseline,2026-05-24,2026-06-22
9,https://oceancloudconsults.com/articles/guide-power-automate-sharepoint,Power Automate Sharepoint,0,0,0.0,0.0,No impressions,Baseline,2026-05-24,2026-06-22
10,https://oceancloudconsults.com/articles/guide-power-automate-triggers-actions,Power Automate Triggers Actions,1,175,0.57,16.23,11-20,Baseline,2026-05-24,2026-06-22
11,https://oceancloudconsults.com/articles/guide-powershell-self-signed-certificate-entra-app-registration,Powershell Self Signed Certificate Entra App Registration,0,42,0.0,4.4,1-5,Baseline,2026-05-24,2026-06-22
12,https://oceancloudconsults.com/articles/guide-scout-adoption-governance,Scout Adoption Governance,0,0,0.0,0.0,No impressions,New guide - awaiting indexing,2026-05-24,2026-06-22
13,https://oceancloudconsults.com/articles/guide-sharepoint-anonymous-links-report-remove-pnp-powershell,Sharepoint Anonymous Links Report Remove Pnp Powershell,0,13,0.0,9.69,6-10,Baseline,2026-05-24,2026-06-22
14,https://oceancloudconsults.com/articles/guide-sharepoint-approval-multiple-approvers,Sharepoint Approval Multiple Approvers,1,107,0.93,34.06,21+,Baseline,2026-05-24,2026-06-22
15,https://oceancloudconsults.com/articles/guide-sharepoint-approval-workflow,Sharepoint Approval Workflow,0,0,0.0,0.0,No impressions,Baseline,2026-05-24,2026-06-22
16,https://oceancloudconsults.com/articles/guide-sharepoint-automation-ideas,Sharepoint Automation Ideas,0,148,0.0,52.2,21+,Baseline,2026-05-24,2026-06-22
